Customer_ID,Transaction_Date,Amount,Merchant_Category,Merchant_ID,Card_Type,Transaction_Type,Country,Is_International,Is_Chip,Is_Pin_Used,Distance_From_Home,Hour_of_Day,Device_Type,Fraud_Flag
28393,2024-12-13 00:05:01,93.4,Food,3335,Gold,POS,Germany,0,1,1,3.46,0,Mobile,0
10558,2025-05-16 16:12:57,108.15,Clothing,1449,Debit,Online,USA,0,0,0,1.27,16,Mobile,0
42696,2024-07-15 18:35:25,125.87,Groceries,1719,Credit,ATM,France,0,1,0,0.9,18,Mobile,0
28290,2025-09-09 03:30:10,49.38,Utilities,7368,Credit,Online,France,1,1,1,1.96,3,Mobile,0
97483,2024-01-20 23:27:45,707.76,Food,9302,Debit,ATM,Germany,0,0,0,0.39,23,Mobile,0
54193,2024-05-19 09:36:12,102.39,Food,5980,Gold,ATM,Singapore,0,0,0,0.1,9,Mobile,0
80906,2025-02-14 18:28:52,104.18,Utilities,9150,Credit,POS,France,0,0,0,4.14,18,Mobile,0
18463,2025-07-29 12:52:02,369.47,Clothing,4941,Platinum,Online,Germany,0,0,0,3.45,12,Mobile,0
23566,2025-03-10 07:16:38,64.23,Electronics,6054,Gold,POS,France,0,0,1,6.44,7,Terminal,0
82614,2024-10-09 23:43:30,81.09,Food,2000,Credit,POS,Singapore,1,0,0,6.4,23,Mobile,0
64852,2024-11-02 23:21:48,58.32,Fuel,3063,Debit,ATM,UK,1,1,0,4.98,23,Mobile,0
26345,2024-01-21 23:16:08,95.42,Utilities,5205,Credit,POS,France,0,0,1,3.02,23,Mobile,0
49678,2024-04-12 08:01:42,112.68,Clothing,9319,Credit,POS,Australia,0,0,0,4.69,8,Web,0
85564,2024-11-12 21:09:28,101.02,Clothing,5896,Platinum,ATM,Germany,0,0,0,0.1,21,Terminal,0
98217,2025-02-07 14:45:50,143.93,Clothing,5050,Platinum,ATM,Germany,1,0,0,4.81,14,Web,0
98690,2024-09-10 22:29:39,130.52,Travel,1833,Debit,Online,USA,1,0,1,0.9,22,Mobile,0
21145,2024-09-30 08:51:01,74.86,Fuel,3489,Gold,POS,Australia,0,1,0,1.36,8,Mobile,0
28363,2024-08-21 07:38:40,194.28,Clothing,8542,Platinum,Online,USA,0,0,0,9.08,7,Web,0
61311,2024-11-15 22:35:33,144.88,Food,4401,Credit,POS,Germany,0,0,0,2.72,22,Web,0
67315,2024-04-07 23:39:17,174.7,Utilities,4087,Gold,Online,India,0,1,0,5.46,23,Web,0
73761,2025-02-23 11:08:34,36.27,Fuel,5872,Credit,POS,USA,1,0,0,3.39,11,Mobile,0
43285,2024-03-27 00:24:24,76.39,Electronics,1542,Platinum,ATM,USA,0,1,0,2.51,0,Terminal,0
75292,2024-08-06 00:24:16,57.02,Health,5673,Gold,Online,UK,0,1,0,19.19,0,Terminal,0
18135,2025-03-29 00:32:42,36.4,Travel,9683,Credit,POS,Singapore,1,0,0,5.86,0,Mobile,0
16094,2025-09-26 20:15:24,170.95,Food,9995,Platinum,Online,UK,0,0,1,3.87,20,Mobile,0
83222,2024-09-20 12:21:54,116.34,Clothing,6098,Gold,Online,UK,0,1,0,0.64,12,Web,0
60945,2024-01-16 11:47:37,43.4,Groceries,4831,Debit,ATM,Singapore,1,1,0,2.53,11,Mobile,0
64334,2024-09-20 03:41:29,453.21,Food,5861,Credit,Online,Singapore,0,0,0,11.3,3,Mobile,0
54429,2024-01-20 23:18:38,23.18,Fuel,5747,Credit,ATM,USA,0,1,0,2.9,23,Web,0
71378,2025-03-01 08:20:41,205.29,Travel,4821,Debit,Online,France,0,1,1,4.5,8,Terminal,0
85508,2024-06-27 01:16:14,305.89,Utilities,6297,Credit,POS,Germany,0,0,0,6.78,1,Web,0
34538,2024-04-30 12:10:54,142.54,Fuel,7832,Gold,POS,USA,0,0,0,3.89,12,Terminal,0
62788,2024-04-07 20:05:31,349.78,Food,4122,Gold,POS,USA,0,0,1,2.99,20,Web,0
62671,2025-04-02 13:35:14,27.25,Entertainment,4324,Platinum,POS,Germany,0,1,0,18.27,13,Mobile,0
10915,2025-07-06 14:58:46,10.52,Food,2358,Platinum,Online,UK,0,0,0,2.52,14,Terminal,0
12234,2024-09-08 02:54:51,91.09,Electronics,1441,Debit,Online,Australia,0,0,0,2.24,2,Terminal,0
25674,2024-06-11 14:40:58,14.14,Entertainment,7077,Debit,POS,France,0,0,0,2.51,14,Mobile,0
58737,2025-04-26 04:38:35,66.67,Fuel,8789,Gold,POS,Canada,0,0,0,2.57,4,Mobile,0
96975,2024-08-29 04:28:55,156.2,Entertainment,7167,Credit,POS,Canada,0,0,0,9.93,4,Web,0
57995,2024-06-04 22:00:47,88.54,Utilities,4322,Debit,Online,Australia,0,0,1,5.12,22,Mobile,0
27602,2025-03-11 00:12:12,63.44,Online Services,2546,Credit,ATM,Singapore,0,0,0,4.22,0,Web,0
59108,2024-04-03 22:15:18,129.71,Health,5432,Platinum,Online,UK,0,0,0,5.48,22,Terminal,0
16465,2024-08-30 17:37:07,370.82,Groceries,8448,Credit,POS,India,0,0,0,3.15,17,Web,0
14344,2024-07-19 00:40:01,231.46,Health,7686,Debit,Online,Australia,0,0,0,3.44,0,Mobile,1
92934,2024-05-09 14:33:37,186.89,Travel,1697,Gold,ATM,Singapore,0,1,1,14.37,14,Mobile,0
67082,2024-03-13 03:00:24,62.36,Travel,5163,Credit,Online,UK,0,0,0,5.02,3,Web,0
47144,2024-04-08 22:27:00,490.01,Groceries,2591,Credit,POS,Canada,0,0,0,10.38,22,Web,0
23227,2024-07-25 19:27:11,93.31,Utilities,8805,Gold,POS,India,0,0,0,7.79,19,Web,0
12436,2025-08-23 19:10:09,167.7,Clothing,8452,Platinum,Online,Australia,1,0,1,17.37,19,Terminal,0
57672,2024-11-08 05:48:44,214.16,Entertainment,9752,Credit,POS,Canada,0,0,0,0.4,5,Web,0
23122,2024-08-19 06:01:52,216.89,Fuel,5948,Platinum,Online,UK,0,0,0,6.14,6,Web,0
36800,2024-05-18 03:30:52,27.89,Utilities,2860,Credit,Online,UK,0,1,1,4.6,3,Web,0
33254,2024-09-25 08:23:07,14.62,Online Services,9004,Gold,ATM,Canada,0,0,1,5.07,8,Mobile,0
15985,2024-05-30 23:17:49,129.51,Online Services,8705,Debit,Online,Australia,0,0,0,10.69,23,Mobile,0
98911,2025-09-14 04:22:58,531.56,Utilities,7629,Debit,POS,France,0,1,0,0.31,4,Web,0
41545,2024-07-02 02:29:46,60.9,Health,4347,Credit,Online,Singapore,0,0,0,1.81,2,Terminal,0
71109,2024-04-24 23:04:29,112.69,Electronics,1104,Debit,POS,UK,0,0,0,14.52,23,Terminal,0
12333,2024-03-21 13:23:42,488.34,Entertainment,4713,Gold,ATM,France,0,0,1,2.07,13,Mobile,0
11179,2024-07-12 19:57:50,45.56,Health,1959,Debit,ATM,India,1,0,1,4.43,19,Terminal,0
56062,2024-12-20 20:04:21,91.67,Health,3433,Platinum,POS,Australia,1,0,0,4.44,20,Mobile,0
32195,2024-05-29 21:17:20,253.22,Entertainment,5158,Debit,ATM,Germany,0,0,0,3.93,21,Mobile,0
39454,2024-04-05 20:46:03,169.16,Utilities,2164,Credit,Online,Germany,0,0,1,7.6,20,Mobile,0
80080,2024-03-20 20:49:07,91.79,Food,1714,Debit,POS,UK,0,0,0,1.18,20,Web,0
23181,2025-06-20 18:05:23,374.82,Electronics,5401,Debit,ATM,Australia,0,0,0,2.98,18,Web,0
62122,2025-06-21 05:49:37,140.63,Utilities,7454,Debit,ATM,Singapore,0,0,0,4.38,5,Web,0
42961,2024-05-31 17:01:50,83.45,Electronics,2008,Credit,ATM,Germany,1,0,1,2.69,17,Mobile,0
71358,2025-08-24 01:38:48,413.28,Health,6740,Platinum,ATM,Canada,0,0,0,5.69,1,Web,0
22352,2025-08-29 01:47:48,277.54,Online Services,1860,Credit,Online,Canada,0,1,0,4.34,1,Mobile,0
75958,2024-12-01 03:49:12,177.4,Entertainment,4879,Debit,Online,Germany,0,0,0,16.35,3,Terminal,0
74009,2025-01-21 13:09:19,99.57,Utilities,2937,Gold,ATM,UK,0,0,0,28.31,13,Web,0
76667,2025-03-07 06:16:39,93.11,Utilities,1449,Credit,Online,UK,0,1,0,7.26,6,Terminal,0
44448,2025-06-25 02:28:28,274.27,Travel,4042,Gold,POS,USA,0,0,0,2.21,2,Terminal,0
27717,2025-07-13 00:48:28,122.92,Food,6545,Credit,ATM,France,1,0,0,2.26,0,Web,0
97109,2025-01-30 10:36:18,239.46,Food,3600,Gold,Online,India,0,0,0,13.96,10,Mobile,0
24864,2025-07-26 01:20:19,66.61,Health,7765,Debit,Online,UK,0,0,0,7.44,1,Mobile,0
97929,2024-04-30 16:46:52,73.86,Online Services,8544,Gold,Online,Singapore,0,1,0,2.69,16,Web,0
15031,2024-03-22 17:44:02,323.24,Entertainment,7955,Debit,ATM,France,0,0,0,1.64,17,Terminal,0
80107,2025-05-29 21:03:03,89.72,Entertainment,9047,Platinum,Online,Australia,0,1,0,0.6,21,Web,0
72610,2025-09-07 19:46:47,69.17,Entertainment,8244,Gold,POS,India,0,0,0,0.83,19,Mobile,0
92405,2025-04-21 17:09:49,94.57,Fuel,3381,Platinum,ATM,UK,1,1,0,4.5,17,Web,0
33142,2024-09-17 11:18:22,31.39,Travel,6128,Gold,Online,India,0,1,0,3.0,11,Mobile,0
21230,2025-07-15 02:07:36,146.66,Online Services,7386,Gold,Online,Australia,1,0,0,4.54,2,Web,0
65890,2024-11-17 12:14:20,20.55,Health,9895,Debit,ATM,Australia,0,0,0,6.13,12,Web,0
90205,2024-12-26 11:54:19,269.67,Utilities,2785,Platinum,POS,France,1,1,0,11.87,11,Web,0
95392,2024-10-10 17:10:01,100.93,Utilities,3297,Credit,POS,Canada,0,0,0,4.44,17,Web,0
83251,2024-12-12 19:43:57,41.15,Clothing,7595,Platinum,ATM,Singapore,0,0,1,1.34,19,Mobile,0
58852,2024-10-21 00:11:51,54.26,Groceries,4043,Debit,POS,UK,0,0,0,0.21,0,Web,0
50079,2025-07-20 21:00:34,131.91,Groceries,8525,Credit,POS,Singapore,0,1,0,3.21,21,Mobile,0
65103,2025-07-22 21:21:20,47.49,Entertainment,9131,Credit,ATM,Canada,1,0,0,4.11,21,Terminal,0
37330,2024-05-01 22:05:03,121.38,Utilities,1382,Debit,Online,USA,0,0,0,4.25,22,Terminal,0
11818,2024-10-08 22:08:47,97.59,Groceries,7713,Platinum,POS,USA,0,1,0,6.12,22,Web,0
37132,2024-09-22 16:38:43,268.76,Utilities,6460,Gold,POS,Germany,1,0,1,0.82,16,Terminal,0
49354,2024-06-08 12:36:00,71.98,Utilities,1526,Gold,Online,Canada,0,1,0,0.27,12,Mobile,0
72530,2024-06-25 00:34:44,71.41,Food,5976,Debit,Online,UK,1,1,0,6.22,0,Terminal,1
96020,2025-07-30 21:29:21,132.33,Online Services,5792,Debit,ATM,India,0,1,0,1.88,21,Mobile,0
49148,2024-01-02 18:59:25,47.13,Fuel,6597,Platinum,ATM,UK,0,0,0,0.18,18,Terminal,0
65570,2025-09-26 12:47:15,30.0,Online Services,2635,Credit,Online,India,1,0,0,1.67,12,Mobile,0
74071,2025-01-21 02:27:02,28.42,Fuel,7385,Credit,ATM,UK,0,0,0,2.1,2,Mobile,0
17209,2024-10-11 10:46:37,78.92,Fuel,8389,Debit,Online,UK,1,0,0,4.2,10,Terminal,0
85624,2024-05-23 01:42:56,70.18,Electronics,9645,Credit,ATM,UK,1,1,0,11.41,1,Web,0
56910,2024-03-17 19:25:02,90.08,Health,2697,Credit,ATM,Australia,0,1,0,4.95,19,Mobile,0
22992,2025-03-30 15:49:42,498.42,Food,3049,Gold,ATM,Germany,0,1,0,0.2,15,Terminal,0
59660,2024-07-27 09:37:19,103.53,Entertainment,3960,Debit,Online,UK,0,0,1,1.32,9,Terminal,0
46373,2025-08-28 19:44:42,590.65,Utilities,9650,Credit,ATM,Germany,0,1,0,0.53,19,Mobile,1
16613,2025-03-29 02:12:39,116.36,Travel,6876,Gold,POS,France,0,0,0,4.14,2,Mobile,0
61507,2025-07-06 20:18:32,198.68,Electronics,7274,Debit,POS,Australia,0,1,0,2.91,20,Web,0
26337,2024-11-16 09:31:09,35.59,Health,6584,Credit,ATM,Singapore,0,1,0,3.57,9,Terminal,0
81705,2024-01-20 05:54:34,42.31,Clothing,5551,Platinum,ATM,France,0,1,0,14.97,5,Mobile,0
74747,2024-09-24 20:40:51,89.49,Groceries,3143,Debit,POS,Germany,1,1,0,8.37,20,Terminal,0
67509,2025-07-06 22:40:15,169.47,Utilities,3939,Gold,Online,USA,0,0,1,1.01,22,Mobile,0
70300,2024-08-24 22:25:41,70.46,Electronics,3337,Platinum,ATM,Canada,1,1,0,1.04,22,Terminal,0
62113,2025-01-19 05:07:58,114.37,Groceries,9260,Gold,ATM,India,0,1,0,0.39,5,Mobile,0
69653,2025-06-16 06:03:16,82.33,Online Services,7600,Credit,ATM,USA,0,0,0,11.89,6,Web,0
57854,2025-02-20 08:53:39,127.77,Groceries,9961,Gold,POS,France,0,0,1,12.35,8,Web,0
51074,2024-10-18 23:25:57,221.42,Utilities,6436,Debit,ATM,Australia,0,0,0,0.6,23,Mobile,1
54138,2025-07-12 04:38:14,114.43,Food,5286,Credit,Online,Australia,0,0,1,14.99,4,Mobile,0
85258,2025-07-23 13:17:34,85.92,Groceries,9981,Debit,ATM,France,0,0,0,3.36,13,Web,0
94582,2025-03-23 17:32:35,285.53,Clothing,3570,Platinum,Online,UK,0,0,0,3.97,17,Mobile,0
97660,2024-07-31 15:39:03,32.71,Groceries,7689,Gold,ATM,Canada,1,1,0,1.83,15,Terminal,0
71384,2025-03-07 12:59:33,55.94,Utilities,6690,Platinum,ATM,India,0,1,0,6.97,12,Terminal,0
29333,2024-06-19 17:19:00,22.63,Food,9519,Debit,POS,Australia,0,1,1,0.27,17,Mobile,0
56822,2024-04-24 07:15:39,111.36,Utilities,2634,Credit,POS,Germany,0,0,0,12.16,7,Terminal,0
38890,2025-03-26 18:08:39,410.31,Groceries,9583,Platinum,ATM,UK,0,0,0,0.64,18,Terminal,0
52792,2024-05-06 12:39:25,14.77,Online Services,5016,Debit,POS,Australia,0,0,1,1.33,12,Terminal,0
15447,2025-04-06 10:49:09,71.18,Fuel,2341,Gold,POS,Canada,0,0,0,4.37,10,Mobile,0
16390,2024-07-31 03:18:43,403.04,Utilities,8525,Platinum,ATM,Australia,0,0,0,25.85,3,Mobile,0
23176,2024-04-23 23:06:35,14.68,Health,2570,Debit,POS,France,0,0,0,4.23,23,Web,0
68195,2024-07-24 17:26:24,101.29,Fuel,6155,Credit,Online,UK,0,0,0,7.07,17,Terminal,0
43430,2024-02-28 02:53:46,117.1,Groceries,1522,Debit,POS,Singapore,0,0,1,3.03,2,Web,0
83950,2024-03-20 00:19:37,56.88,Groceries,7373,Credit,ATM,USA,0,0,0,2.21,0,Terminal,0
44873,2025-03-27 17:32:43,178.06,Electronics,4417,Credit,Online,France,0,0,0,0.05,17,Mobile,0
17212,2024-11-11 22:49:05,25.35,Clothing,8932,Gold,ATM,Australia,0,1,0,0.27,22,Web,0
43693,2025-05-26 20:08:24,39.3,Travel,4965,Debit,POS,Singapore,0,0,0,1.71,20,Web,0
43432,2024-03-10 01:54:58,126.17,Food,3697,Debit,ATM,Australia,0,0,0,0.99,1,Mobile,0
14748,2024-11-22 08:56:08,31.97,Utilities,3113,Debit,ATM,Canada,0,0,0,18.37,8,Terminal,0
82693,2025-06-07 02:17:19,66.24,Health,5783,Platinum,Online,Canada,0,1,0,4.9,2,Terminal,0
14886,2025-06-21 07:46:06,84.54,Fuel,4103,Gold,ATM,India,0,0,0,0.87,7,Web,0
38079,2025-08-31 10:07:25,82.55,Entertainment,5670,Debit,Online,Singapore,0,0,0,0.47,10,Terminal,0
41501,2024-08-21 18:44:32,75.78,Health,8330,Gold,Online,Australia,0,1,0,6.39,18,Terminal,0
25644,2024-03-01 15:36:24,66.84,Food,7042,Gold,ATM,UK,0,1,0,3.73,15,Mobile,0
11732,2024-06-13 23:52:42,311.07,Clothing,9384,Credit,ATM,Germany,0,0,0,0.14,23,Web,0
84620,2025-06-01 00:42:54,164.44,Health,5532,Debit,POS,Australia,0,1,0,2.95,0,Web,0
17881,2024-09-07 22:09:18,67.03,Food,9373,Credit,POS,USA,0,1,0,4.51,22,Mobile,0
81727,2025-01-30 06:49:29,57.27,Online Services,2732,Gold,POS,India,0,1,0,3.57,6,Web,0
77672,2025-03-05 20:26:54,95.8,Entertainment,8000,Gold,ATM,Canada,0,0,0,6.08,20,Terminal,0
43872,2025-07-30 18:09:32,46.21,Fuel,7755,Platinum,Online,India,0,1,0,0.03,18,Mobile,0
89252,2025-08-07 12:23:15,29.05,Electronics,6483,Gold,ATM,USA,0,0,1,1.86,12,Mobile,0
37191,2024-03-30 14:13:57,153.87,Electronics,9756,Gold,Online,Australia,0,1,0,1.05,14,Terminal,0
89012,2025-07-27 00:53:34,27.17,Health,2621,Debit,POS,Singapore,1,1,0,8.56,0,Terminal,0
24229,2024-11-26 16:00:48,25.02,Utilities,1905,Platinum,POS,Australia,1,0,1,1.99,16,Terminal,0
53057,2024-09-07 15:15:25,102.14,Travel,3104,Platinum,Online,Australia,1,0,0,0.84,15,Mobile,0
71617,2024-08-29 22:57:26,28.94,Clothing,9735,Gold,POS,Singapore,1,1,0,3.56,22,Web,0
70486,2024-06-01 22:38:00,402.73,Online Services,2792,Platinum,Online,USA,0,0,1,7.77,22,Web,0
81532,2025-09-13 15:41:18,92.14,Clothing,3743,Gold,ATM,Australia,1,0,0,1.82,15,Terminal,0
32055,2024-11-25 21:34:51,23.02,Fuel,9175,Credit,Online,Australia,0,0,0,7.76,21,Mobile,0
10405,2024-09-28 20:34:53,320.06,Clothing,8112,Platinum,Online,UK,0,0,0,6.15,20,Mobile,0
97837,2025-07-10 02:58:38,202.19,Online Services,2226,Gold,POS,USA,0,1,0,2.78,2,Web,0
50676,2024-03-15 15:11:24,60.6,Clothing,4293,Platinum,Online,France,0,0,0,0.61,15,Web,0
50745,2024-10-07 15:19:43,192.17,Travel,7922,Gold,ATM,Germany,0,0,0,7.95,15,Web,0
42137,2025-06-10 00:49:15,13.7,Health,4573,Credit,ATM,Singapore,0,0,0,8.9,0,Terminal,0
31716,2025-01-23 02:52:07,222.0,Fuel,6203,Credit,ATM,UK,0,1,0,25.12,2,Web,0
98996,2024-02-28 20:15:08,69.12,Utilities,2726,Debit,Online,Germany,0,0,0,1.54,20,Web,0
92506,2024-09-26 16:49:44,76.01,Health,9531,Credit,ATM,Australia,0,1,0,0.63,16,Terminal,0
48546,2024-11-01 07:49:08,56.82,Online Services,1704,Debit,POS,UK,0,0,1,4.07,7,Mobile,0
28984,2024-02-15 20:03:43,64.41,Health,9934,Debit,Online,Australia,0,0,0,0.77,20,Terminal,0
83677,2025-09-15 01:17:24,331.1,Food,5993,Platinum,ATM,France,0,0,0,0.28,1,Web,0
65722,2025-07-06 14:13:47,41.79,Electronics,8516,Platinum,POS,UK,1,0,0,3.77,14,Mobile,0
77165,2025-01-30 18:59:27,26.74,Health,4705,Platinum,POS,Canada,0,0,0,1.53,18,Terminal,0
11004,2024-05-13 22:46:28,143.64,Utilities,5678,Gold,ATM,India,0,0,0,1.53,22,Web,0
74400,2025-05-02 12:24:04,36.78,Fuel,5648,Platinum,POS,Germany,0,0,0,3.93,12,Terminal,0
92463,2024-11-03 02:26:09,671.9,Clothing,4413,Platinum,POS,Germany,0,1,0,11.58,2,Terminal,0
74167,2024-07-28 23:01:54,67.05,Food,2064,Gold,Online,Canada,0,0,1,4.83,23,Web,0
47013,2025-05-25 15:55:36,54.72,Utilities,9445,Gold,POS,India,0,1,0,9.61,15,Terminal,0
45919,2024-08-19 20:17:30,114.28,Electronics,4851,Gold,ATM,Canada,0,0,0,2.6,20,Web,0
82348,2024-09-29 06:25:19,310.65,Entertainment,9341,Gold,Online,India,0,0,0,2.64,6,Terminal,0
46072,2025-06-12 20:26:29,75.73,Health,1433,Debit,POS,USA,0,0,0,2.11,20,Terminal,0
77100,2025-03-25 08:20:08,84.63,Clothing,9594,Credit,POS,UK,0,0,0,1.04,8,Mobile,0
59865,2025-05-05 08:40:01,79.82,Clothing,9403,Gold,Online,Singapore,0,0,1,11.48,8,Terminal,0
19029,2025-02-20 13:01:54,50.21,Online Services,8221,Gold,POS,Germany,0,1,0,7.16,13,Web,0
17413,2025-01-03 21:54:01,26.09,Fuel,3207,Credit,Online,Singapore,0,1,0,3.11,21,Web,0
31458,2024-10-13 18:43:05,18.99,Fuel,5383,Gold,ATM,Germany,0,1,0,0.99,18,Terminal,0
11742,2024-01-13 03:26:18,303.36,Fuel,2837,Credit,Online,UK,0,0,0,10.49,3,Terminal,0
15496,2025-06-01 09:12:29,61.89,Entertainment,7494,Debit,ATM,UK,0,0,0,4.61,9,Web,0
66470,2025-05-26 21:58:44,30.38,Entertainment,7869,Credit,ATM,UK,1,1,0,3.28,21,Mobile,0
36125,2024-08-27 13:16:19,258.91,Online Services,6453,Platinum,ATM,France,0,0,0,3.07,13,Terminal,0
64245,2024-05-11 08:34:47,64.31,Clothing,5947,Platinum,ATM,USA,1,0,1,4.29,8,Terminal,0
21612,2024-11-19 09:14:04,291.02,Groceries,7894,Credit,ATM,Germany,1,0,1,4.18,9,Mobile,0
45565,2024-06-30 02:48:25,120.92,Fuel,2238,Platinum,Online,France,0,0,0,1.11,2,Mobile,0
51083,2024-12-13 13:50:32,90.58,Utilities,7241,Debit,Online,Singapore,0,0,0,2.53,13,Mobile,0
33080,2024-09-16 07:51:52,218.97,Utilities,3177,Platinum,POS,Singapore,0,1,0,14.16,7,Web,0
56776,2025-09-04 15:56:23,55.49,Food,2326,Platinum,ATM,Germany,1,0,1,3.02,15,Terminal,0
88304,2024-12-22 15:24:42,102.78,Entertainment,9369,Credit,Online,USA,0,0,0,23.12,15,Web,0
30309,2024-05-11 22:40:12,116.94,Electronics,4129,Credit,Online,Singapore,0,0,0,10.65,22,Terminal,0
45181,2024-05-12 11:54:54,132.16,Groceries,6212,Gold,ATM,France,0,0,0,1.12,11,Terminal,0
97133,2024-07-04 22:51:41,114.49,Online Services,1273,Debit,ATM,Canada,0,1,0,1.76,22,Terminal,0
93613,2024-05-29 20:45:16,99.55,Fuel,1515,Credit,POS,USA,0,1,0,5.26,20,Mobile,0
57646,2024-10-08 22:55:32,203.86,Entertainment,6736,Platinum,Online,UK,0,0,1,2.69,22,Mobile,0
43687,2024-01-12 23:04:12,83.45,Food,2009,Debit,Online,India,0,0,0,2.99,23,Web,0
38641,2024-03-11 10:53:10,59.09,Entertainment,9407,Platinum,Online,India,1,0,0,2.35,10,Mobile,0
38093,2024-07-09 05:04:42,166.76,Travel,7387,Credit,Online,France,0,0,0,2.24,5,Web,0
99079,2025-07-04 02:11:55,189.05,Travel,4957,Gold,Online,India,0,1,1,2.89,2,Web,0
84989,2025-03-02 07:17:02,59.34,Utilities,5085,Gold,POS,India,0,0,1,4.54,7,Mobile,0
96973,2025-02-01 21:31:50,250.34,Travel,9337,Credit,POS,France,0,0,0,1.03,21,Web,0
95134,2024-07-25 20:45:20,285.15,Fuel,5733,Gold,Online,France,0,0,0,5.37,20,Terminal,0
80257,2024-07-21 12:02:46,136.7,Electronics,4382,Debit,POS,France,1,0,0,0.1,12,Web,1
67625,2024-05-31 02:37:58,75.34,Fuel,4983,Debit,POS,UK,0,0,0,4.79,2,Web,0
87992,2024-10-22 19:04:34,118.38,Online Services,1919,Debit,POS,Canada,0,1,0,9.95,19,Mobile,0
17250,2025-05-09 20:40:18,162.13,Food,8362,Gold,Online,Germany,0,0,0,10.44,20,Web,0
69507,2025-08-10 19:52:21,156.31,Travel,4588,Platinum,POS,India,0,1,0,4.62,19,Terminal,0
94298,2024-12-10 01:03:23,49.86,Health,8114,Platinum,POS,Australia,0,1,0,2.19,1,Terminal,0
37773,2025-05-18 09:41:06,632.22,Health,1267,Credit,Online,USA,0,1,1,3.51,9,Web,0
33751,2024-11-29 07:31:30,79.59,Entertainment,5309,Platinum,Online,UK,0,0,0,3.45,7,Terminal,0
65554,2025-01-28 05:55:34,88.54,Entertainment,8457,Gold,ATM,Germany,1,0,0,6.51,5,Terminal,0
43870,2025-04-17 23:07:25,198.32,Entertainment,9753,Credit,Online,USA,0,0,0,4.54,23,Terminal,0
73752,2025-07-24 20:22:15,186.45,Utilities,4605,Debit,ATM,USA,1,1,0,6.14,20,Web,0
